,title,description,title_label,description_label
10, 코로나 로 인해 변한 원광한의대 경혈학 실습 풍경, 코로나  사태가 지속되면서 한의대 강의 역시 대부분 비대면으로 이뤄지고 있다  그렇다면 대면 실습이 불가피한 강의실의 풍경은 예전과 어떻게 달라졌을까  현재  코로나 로 인해 대부분의 학과수업이 비대면으로  ,1,0
11,경산시 농산물 드라이브 스루 특별할인 판매행사 개최,이번 행사는  코로나  확대 장기화로 인해 지역소비 판로에 어려움을 겪고 있는 농가 돕기 등 소비촉진을 위해 마련됐다  행사에는 계란 구  연근  햇감자  새송이  방울토마토  깻잎  햇양파  오이고추 등  개 품목의  ,0,0
12,당신이 아는 미술  시장이 아는 미술   한국 현대 미술 시장을 이끄는 작가,최근 갤러리 현대 창업  주년 기념전에 이 작품이 전시되자  코로나 의 영향에도 마스크를 착용한 관람객의  미술계 트렌드 그리고 한국 미술 시장 글 정태희 서울옥션 스페셜리스트 세계 경기 침체와  코로나  여파로  ,1,1
13,제 회 부산국제영화제 공식 상영작 모집  공식 ,전 세계가  코로나 로 전례 없는 위기를 겪고 있으며  이로 인해 국내외 영화계도 예상 못한 타격을 받고 있다  부산국제영화제는 이러한 국내외 상황을 인지하고 예의주시하며 정부 방침과 권고를 준수할 것이다  ,0,0
14,수도권  코로나  확진자 산발적으로 늘어 하루 새  명 증가,서울과 경기  인천 등 수도권에서 개척교회발  신종  코로나 바이러스 감염증 코로나  확진자가 산발적으로 증가하는 모양새다  이들 중 감염경로를 알지 못하는 확진자도 늘고 있어 방역당국이 긴장하고 있다   일  ,0,0
15,동작구  전통시장 무료 배송서비스 사업 실시,구는 신종  코로나 바이러스 감염증 코로나  장기화로 전통시장 상인들이 매출감소 등 점포 운영에 어려움을 겪자  억여 원을 투입해 온 오프라인 무료 배송서비스 운영을 지원하고 있다  지원 대상은 남성사계시장  ,0,0
16,서울 건강용품 세미나서 무더기 확진 명 검사,수도권을 중심으로  코로나  확산세가 이어지는 가운데  주로 노인들이 참석한 것으로 알려진 다단계식  서울시에 따르면 오늘 오전  시 기준  코로나  확진자는  명으로   명 늘었으며 감염경로는 수도권  ,1,0
17,  상반기 신입 및 경력직 공채 시행, 코로나  감안해  차 면접  비대면 역량검사  도입 국내 최대 치킨 프랜차이즈인 제너시스 비비큐 회장    채용관계자는  는 한국을 대표하는 책임감 있는 브랜드로서  코로나 로 침체된 채용 분위기  ,0,1
18,중국 굴착기 판매량 상승에도 두산인프라코어 긴장하는 이유는,판매량이 급증한 이유는 신종  코로나 바이러스 감염증 코로나  확산세가 주춤하기 때문이다  올해 초만 하더라도 중국은  코로나  여파로 제대로 된 생산활동도 전개하지 못했다  하지만 시간이 지나면서  코로나 가  ,1,0
19,미소짓는 의료진, 일 오후 서울 중랑구 서울의료원에서 열린  서울의료원 잠시멈춤 콘서트 에서 신종  코로나 바이러스 감염증 코로나  환자 진료를 위해 수고해 온 의료진들이 가수 폴 킴의 공연을 보고 있다   뉴스 ,1,1
20, 포스트  코로나  대비 투자 잰걸음 나서는 게임사, 이승원 넷마블 대표  신종  코로나 바이러스 감염증 코로나  확산으로 언택트 비대면  문화가 차세대 미래 먹거리로 부상되며   포스트  코로나 를 준비하는 게임사가 늘고 있다  게임사의 산업 구조 개편도  코로나 를  ,0,0
21,휴넷  리더십 게임러닝 프로그램  아르고  출시,플립러닝은 온라인 학습 후 교실에서 토론 및 심화학습을 거쳐  거꾸로 교실 이라고도 불리며  포스트  코로나  시대 교육 방식으로 주목받고 있다  아르고 리더십 편은 다양한 상황에 따라 게임을 통해 리더십 유형을  ,0,1
22,광주 서구 양동  민 관 협력으로 주거환경 개선,특히 오래된 도배 장판 및 침대  장롱 등 가구 교체와 함께  코로나  예방을 위한 방역도 진행하는 등 쾌적한 주거환경 조성에 힘썼다  변미자 양동 동장은  어려운 이웃을 위해 봉사에 나서준 이들에게 감사하다 며  ,1,1
23,손흥민의 고백   주간의 군사훈련  힘들지만 즐겼다 , 코로나  사태가 터진 가운데 병영생활을 한 손흥민의 경험은 영국에서 화제다  손흥민은  첫 날은 서로 잘 몰라서 서먹했지만 금방 친해졌다   명이서 한 방을 썼더니 정말 친해졌다  서로 돕고 호흡이 좋았다 고  ,1,1
24,   카타르  선 수주  문 대통령 경제외교 결실 ,청와대는  일  해외에서 낭보가 이어지고 있다 며  문재인 대통령이 포스트  코로나  시대 경제위기  이어  정상회담을 통해 양국 간 협력을 에너지 외에 의료    등으로 확장했고  최근 카타르에  코로나    관련  ,1,1
25, 유통 나누기 세상 더하기  세븐일레븐  유치원 통학차량에 공기청정기 설치 ,맥도날드는  코로나 로 방역 작업에 힘쓰고 있는 대구 지하철 청소 근로자에게 빅맥과 커피를 증정했다  패션업계도 나눔 활동에 동참한다  코오롱인더스트리 임직원들은 성과 포상금 중  만원을  코로나 로 어려움을  ,0,1
26,김포 혁신교육지구 사업  특수교육대상자를 위한 교육과정 지원,정하영 김포시장은  혁신교육지구 사업 내 특수교육 대상자를 위한 사업이 별도로 편성돼 소외되는 학생들이 줄었다 면서  코로나 로 인해 교육과정 운영이 쉽지 않을 것으로 판단되지만  학생들의 안전을 위한 방역과  ,0,1
27, 속보  군포시청  서울시  리치웨이   코로나  확진자 동선 공개  군포로 번길 ,군포시청  서울시  리치웨이   코로나  확진자 동선 공개  군포로 번길 거주 자료  군포시청  군포시청이 서울시  리치웨이   코로나  확진자의 동선을 공개했다   일 군포시청은 공식 블로그를 통해  서울시  ,0,1
28,가맹점과  상생나선  카드사,  카드사들이  코로나 코로나 바이러스  사태로 피해를 입은 소상공인을 위한 가맹점 수수료 포인트 적립 서비스  주말 대출 서비스 등 여러가지 지원 사격에 나서고 있다  사진 픽사베이   데일리동방  국내  ,0,0
29,질병관리본부  청  승격에도 줄어든 입지 복지부  전문성 독립성 확보가 ,중앙재난안전대책본부 이하 중대본 는  일 오전  시 정부세종청사에서  코로나  정례 브리핑을 개최하고   코로나  사태로 감염병 관리 대응이 중요해지자 질병관리본부에 전문성을 강화하겠다는 취지다  그러나 복수  ,0,0
30, 함양군 브리핑  명품 함양양파 특판  서울서 인기몰이 등,  명품 함양양파 특판전 모습   사진제공 함양군    함양군   일 롯데마트 서울역점 양파소비촉진 판촉행사   코로나 로 지친 농심 위로 함양군이  코로나  장기화에 따라 소비 위축 등 판매에 어려움을 겪고 있는  ,0,1
31, 이십세기  민아  룰라 때문에 다른 가수들 앨범 일정 미뤄 ,지난 주 방송된      이십세기 힛트송   회에서는  노래방 대리만족 방구석에서 즐기는 힛 트쏭  을 주제로   코로나 로 노래방 대신 집에서 흥을 폭발시켜줄 수 있는 과거 힛트송으로 시청자들의 무료함을 달랬다  ,1,1
32, 유플러스   분기 개인용   글라스  출시, 유플러스는  코로나 로 인한 언택트 시대에 맞춰  일 엔리얼과 올쇼 를 통해   글라스 온라인 애플리케이션 앱  개발 세미나를 개최한다    글라스를 활용  다양한   앱을 개발할 수 있는   생태계를 만들기  ,0,1
33,투교협   코로나  이후 중국 증시전망과 투자전략  온라인 특강,전국투자자교육협의회는 이달  일 오후  시부터 중국 증시 전문가와 함께 하는  코로나  이후  중국 증시전망과 성공적인 투자전략  온라인 특강을 실시한다고  일 밝혔다  중국시장 전문가인 김경환 하나금융투자  ,0,0
34,홈플러스   일까지  삼시육끼  기획전 진행,이창수 홈플러스 마케팅총괄이사는  고기는 굽고 치우는 과정이 번거로워 대표적인 외식 메뉴였지만  코로나  이후 대표적인 집밥 메뉴로 바뀌고 있다 며  삼시육끼 기획전을 비롯해 앞으로도 달라진  ,0,1
35,세종 지역화폐  여민전  상권활성화 한몫,시는 당초  억 원을 우선 발행하고 향후 소비 추이를 고려하여 발행 규모를 확대할 계획이었으나   코로나 로 침체된 지역 상권에 활력을 불어넣기 위해 발행규모를  억 원으로 대폭 확대하였다  또한 시민들의  ,1,0
36,울릉군 신청사 건립 본격 착수   입지선정위원회  개최,김병수 울릉군수는  가용부지가 절대부족한 우리 울릉군 특성상 신청사 부지 선정은 우리 군 발전의 미래  년 대계를 결정할 매우 중요한 사안이다 며  코로나  등으로 다소 지연됐지만 울릉군 행정력과  ,0,1
37,   선  척 수주   방역 신뢰 결과물 ,청와대가  일 카타르  액화천연가스  운반선 수주를 지목해  코로나  사태 극복 과정에서 쌓인  방역에  특히 최근 카타르에  코로나  관련 진단장비 공급과  방역 경험 공유 등 양국 간 협력의 범위를 확대했다 고  ,0,1
38, 산업워치   월급  이제  로봇이 지급해요     자동급여이체 서비스 ,이밖에  유플러스는  코로나 로 인한 언택트 시대에 맞춰 엔리얼과 함께  글래스 온라인 앱 개발 세미나를 개최한다  오는  일 오전  시  분부터 한 시간 동안 올쇼 를 통해 실시간으로 참여할 수 있으며 해당  ,1,1
39, 코로나 안양서  리치웨이  방문자 등  명 확진,안양시는 서울 관악구  리치웨이  방문자 등  명이  코로나  양성 판정을 받았다고  일 밝혔다  확진자는 동안구 범계동 목련아파트에 거주하는 여성  씨와 안양  번 확진자의 가족인  동안구 관양 동 동편마을  ,0,1
40,성빈센트병원  혈액난 극복 위한 교직원 헌혈 행사 개최,이날 행사는  코로나  장기화에 따라 헌혈이 감소해 혈액 수급에 어려움이 지속됨에 따라 혈액 재고량 안정화 및 수혈이 필요한 환우들에게 힘을 보태기 위해 갖게 됐다  행사는 대한적십자사 경기혈액원에서 헌혈차량을  ,1,0
41, 당신이 영웅입니다 세정그룹   덕분에 챌린지  동참, 당신이 영웅입니다 세정그룹   덕분에 챌린지  동참 세정그룹이 최근  코로나  치료를 위해 힘쓰는  박순호 세정 회장은  코로나 를 극복하기 위해 신속한 대처로 앞장서고 있는 정부 관계자와 밤낮없이 헌신하는  ,0,0
42, 코로나  의료진  공연보며 힘내세요 , 일 오후 서울 중랑구 서울의료원에서 열린  서울의료원 잠시멈춤 콘서트 에서 신종  코로나 바이러스 감염증 코로나  환자 진료를 위해 수고해 온 의료진들이 가수 수안의 공연을 보고 있다   뉴스 ,1,1
43,경기도  시 군 부단체장 영상회의서  지역경제 활성화 방안  집중 논의, 일 도청 재난상황실에서 김희겸 행정 부지사 주재로 열린 영상 회의 사진제공 경기도 경기도가  코로나  이날 회의에서는 지난달  일 중앙 지방정책협의회 결과를 공유하고  코로나  시대 이후의 지역경제 활성화  ,0,0
44,    조직위  초고강도 방역으로 안전한 행사 다짐,행사를 주최하는 서울시치과의사회 이하 서울지부 는  코로나  관련 사회적 우려에 대한 심각성을    대회장인 김민겸 서울지부 회장은  지난  월 초  코로나 와 관련한 정부 지침이 생활방역으로 바뀌어  ,0,1
45,성남 판교동 건물 근무  대 남성  일  코로나  확진,경기 성남시 판교동의 한 건물에서 근무 중인  대 남성  씨가  일  코로나  양성 판정을 받았다  이 건물에는 학원이 있어 원생  명과 직원  명에 대해 시는 전수조사를 실시하기로 했다  이어 학원과 편의점  ,1,1
46, 코로나  신규확진  명  지역발생  명 전원 수도권   차 감염 사례  , 연합뉴스  코로나  사태가 서울 이태원 클럽  경기도 부천 쿠팡물류센터  수도권 종교 소모임 등을   명 늘어 총  만 명이 됐고 격리 치료 중인 환자는  명이다    최근 수도권  코로나  발생 추이  연합뉴스,0,0
47,서울 아파트값  주만에 하락 보합 전환 큰 폭 조정 없다 ,함영진 직방 빅데이터랩장은  코로나 로 인한 시장의 충격이 거래량을 둔화시키고 있긴 하지만 가격이 큰 폭으로 조정되는 것을 기대하기는 제한적이라고 판단된다 고 밝혔다    함 랩장은  올해  만 가구에  ,0,1
48,울산의 힘 한국의 미래  울산경제자유구역 확정,포스트  코로나  시대 극보을 위한 울산형 뉴딜사업 첫 번째 성과로 울산의 미래를 열다  울산시는  포스트  코로나  시대 극보을 위한 울산형 뉴딜사업 첫 번째 성과로 울산의 미래를 여는 새로운 발판을 마련했다는  ,1,1
49,양천구   신월 동 부활교회 신도 등 확진자  명 추가 ,서울 양천구 구청장 김수영 는 신종  코로나 바이러스 감염증 코로나  확진자가  명 추가 발생했다고  일 밝혔다  이로써 양천구의 누적 확진자는  명으로 늘었다  신규 발생한  번 확진자는 신월 동 거주  대  ,1,0
50,경기도  유흥업소도 최고  만원 지역화폐로 지원,경기도가 신종  코로나 바이러스감염증 코로나  사태의 장기화로 어려움을 겪는 취약노동자와 영세사업자에 대한 긴급 지원에 나섰다  택배기사 등 취약노동자에게는  인당  만원씩 소득손실 보상금을  집합금지  ,1,0
51,  콘텐츠마켓     온라인 개최 내달  일부터 한 달간,올해  는  코로나 에 따른 대면접촉이 어려운 상황 속에서 국내 콘텐츠 산업군의 활로모색을  추진하여  코로나   로 침체된 콘텐츠 산업 발전에 동력을 부여하고자 한다 라며     에 참여하는 국내외  ,1,0
52,연상호  반도 임상수  헤븐  칸영화제 공식초청,그러나  코로나 의 전 세계적인 확산으로 영화제를 취소하고 공식 초청작만 발표하기로 했다  황금종려상  감독상  각본상 등 수상작도 선정하지 않으며  공식 초청작은 베니스  베를린  부산 등 국제영화제를 통해  ,0,0
53,참석자 대부분 노인 다단계 건강용품 세미나  명 무더기 확진,다단계식 건강용품 판매업체에서 신종  코로나 바이러스 감염증 코로나  확진자가 쏟아졌다  이 업체는 주로 노인들을 대상으로 홍보 세미나를 여는데  검사 대상이  명에 육박해 추가 감염 우려가 커지고 있다  ,0,0
54,대한체육회   학생심판 양성교육  참여 학교 모집,확보하고   코로나  확산 예방을 위한 정부 방역 지침을 준수하여 운영하여야 한다  또한  학생심판  교육은 종목별 강사 선발 및 교육을 마친 후  월에서  월 중 종목별로 시행될 예정이며   코로나  확산 상황에 따라  ,0,0
55, 코로나 가 바꾼 언론시사회 풍경, 일 오후 서울 용산구  용산아이파크몰에서 열릴 예정인 영화  결백  언론시사회를 앞두고 취재진들이 체온측정 후 개인정보를 작성하고 있다   ,1,0
56, 코로나 가 바꾼 언론 시사회, 일 오후 서울 용산구  용산아이파크몰에서 열릴 예정인 영화  결백  언론시사회를 앞두고 취재진들이 생활 속 거리두기 지침을 준수하며 표를 받기 위해 줄 서 있다   ,0,0
57,전북도  농산시책평가 전국 위 시상금  천만원 전액 기부,송하진 도지사는  코로나  등 지역사회를 위해 공무원들이 앞장서서 착한 기부 릴레이를 하고 있다 며 특히  천년 전북의 미래 발전을 책임질 지역인재 양성을 위해 깊은 관심을 가지고 장학사업에 동참하는 것은  ,1,1
58,정읍시  시청 종합민원실 방문 시 마스크 의무 착용  강화 ,최근 이태원 클럽발과 부천 쿠팡물류센터 등  코로나  집단감염 사태가 발생한 만큼 다중 밀집 공간 감염을  의회관 출입문에 설치된 열화상카메라도 지속 운영해  코로나  유입 차단에 총력을 다한다는 방침이다  시  ,0,0
59,무주서 자전거 마라톤대회 열린다,  메디오폰도 방식으로 진행   무주군   코로나  예방 철저  완성도 높일 것   무주번닷불 그란폰도  특히  코로나  예방을 위해 별도의 개   폐회식은 하지 않고 발열체크와 방역소독을 추진하는데도 만전을 기할  ,1,0
60,선원노련   코로나  극복 위해  만원 기부,정태길 전국해상선원노동조합연맹 위원장이  일 오전 부산 동구 부산사회복지공동모금회를 방문  신종  코로나 바이러스 감염증 코로나  위기 극복을 위한 성금  만원을 전달하고 있다  선원노련은 선원들의  ,1,0
61, 더위 생각하면 아찔  여름 맞은 의료진 어쩌나,신종  코로나 바이러스 감염증 코로나  장기화로 최일선에 선 의료진의 육체적 심리적 피로도가 우려된다  대구 경북에 이어 수도권으로 감염이 확산되는 가운데 본격적인 더위가 시작돼 의료진의 감염 위험도 커졌다  ,1,0
62,정읍시   코로나  극복 청년 긴급 지원사업 본격 추진,업코리아      정읍시청  업코리아  정읍시가  코로나 로 인한 경기침체의 장기화로 경제적 어려움을 겪고 있는 청년들의 생활 여건을 개선하기 위한 긴급 지원에 나선다  시는  코로나  여파로 고용시장이 위축되고  ,0,0
63,   년 대졸 신입사원 및 경력직 공채  실시, 코로나 로 고용시장 전반이 침체된 가운데   는 지난해에 이어 사회 고용 창출을 위한 상반기 공채를 진행한다는 방침이다  채용은  신입부문   전략기획  마케팅  운영   영업   경력부문   직영점장  ,0,0
64, 야식남녀   박 일 펜션 뒤풀이 결국 취소  코로나  사태에 적절치 않다고  ,그러나 신종  코로나 바이러스 코로나 로 생활 속 거리두기를 강조하는 시기에  다수의 인원이 한 곳에 모이는 것은 부적절하다는 지적이 나왔다  이에  야식남녀  측은 펜션 쫑파티를 결국 취소했다   야식남녀  측은  일  ,0,0
65,다단계 판매업체  리치웨이  관련 최소  명 확진 참석자 대부분 노인 ,다단계식 건강용품 판매업체  리치웨이 와 관련된 신종  코로나 바이러스 감염증 코로나  확진자가 최소  명 확인됐다  이 업체는 관악구 조원동의 매장에서  판매원 교육 과  세미나  등 명목으로 여러  ,1,0
66,중기중앙회 신세계백화점  중소기업 소상공인 특별전, 코로나 로 어려움을 겪는 중소기업과 소상공인의 판로개척에 도움을 줄 것으로 중기중앙회는 기대했다  추문갑 중기중앙회 경제정책본부장은  백화점 입점이 어려운 중소기업 소상공인에게 이번 특별전은 새로운  ,1,0
67,김포시  국내 최초 버스 스마트 발열체크기 도입,정하영 시장은  장기화 되고 있는  코로나 로부터 우리 스스로를 지키기 위해서는 생활 속 방역이 일상화 돼야 한다 며  이번 발열체크기 도입으로 시민들께서 더욱 안심하고 대중교통을 이용하실 수 있을 것 같다 고  ,1,1
68, 전문  남양주시청  번째 확진자 발생 동선공개 화도읍 마석우리 서희스타 ,남양주시청이  코로나   번째 확진자 발생을 알렸다  남양주시  번째 확진자는  세 여성으로 화도읍 마석우리 서희스타힐스아파트에 거주한다  남양주시청은 감염경로로 서대문구  번째 확진자의  ,1,1
69,해풍 먹은 마늘 청정 한우   보물섬  남해 농특산물 한 자리에, 일   보물섬 남해 농특산물 판매행사   황금마늘 한우를 찾아라  등 이벤트 풍성 경남 남해군은 신종  코로나 바이러스 감염증 코로나 취소된  보물섬 마늘 한우축제  대신 지역 특산물을 한 자리에 모은  ,0,0
70,평택시 새마을지도자 통복동협의회   년 방역발대식 개최,표광오 통복동장  코로나  확산의 위협이 사라지지 않은 상황에서 방역대원 모두 시민의 건강지킴이라는 자부심을 가지고 민 관이 굳건한 방역 협력체계를 구축하며 감염병 없는 건강한 통복동이 될 수 있도록 적극  ,1,1
71,경기도   코로나  검사받는 취약노동자에  만원씩 지역화폐 지원,도 시군  행정명령 대상 영세사업자엔 특별경영자금 최대  만원 방역수칙 이행 업소  심의 거처 조건부 집합금지명령 해제 경기도와 시군 지자체가 신종  코로나 바이러스 감염증 코로나 으로 피해를 보는 취약  ,1,0
72,국립중앙박물관  외국인 홈스쿨 가족 대상 온라인 수업 진행,국립중앙박물관은 신종  코로나 바이러스 감염증 코로나 으로 가정에서 자녀를 교육하는 외국인 가족을 위해 오는  일부터 온라인으로 컬쳐 아카데미를 진행한다고  일 밝혔다  영어로 진행되는 컬쳐 아카데미에서는  ,1,0
73,적십자봉사회 호평지회  서로버팀목 후원금  만원 기탁,통해  코로나 로 갑작스런 어려움에 처한 취약계층을 위한 후원금  만원을 동부희망케어센터에 지정  김복순 적십자봉사회 호평지회장은  얼마 안 되는 금액이지만 회원들의 정성을 모았다 며 코로나 로 많은  ,1,1
74,평택시 안중읍 행정복지센터   힘내세요 사장님 소상공인 응원 캠페인 참여,이날 안중읍장과 주민참예예산 지역협의회는  찾아가는 읍면동 주민참여예산학교  교육 참석 후  코로나 로 어려움을 겪고 있는 소상공인에게 작은 힘을 보태기 위해 행정복지센터 근처 상가 지역을 찾아 점심 식사를  ,1,0
75,서산시  외국전문음식점 아시안마트 특별단속,또한 원산지 표시 리플릿 및 원산지 표시판 배부와 식중독 예방수칙 및  코로나  예방 홍보활동도 병행할 예정이다  최교상 감사담당관은  이번 단속을 통해 양심이 사라진 행위와 원산지 및 식품위해 사고 예방에 최선을  ,0,1
76,홍천군  홍천사랑상품권을 통한 지역경제 살리기 캠페인 개최,증가하면  코로나  위기에 따른 지역경기 침체에 핵심 돌파구가 될 것으로 전망된다  때문에 홍천군은  한 시장상인은  코로나 가 확산되면서 시장에 손님들의 발길이 끊겨 한동안 많이 어려웠는데 장보기 행사를 통해  ,1,0
77,김여정  못본 척 하는 놈이 더 밉다 박지원김홍걸  협박아닌 대화 신호 ,김 의원은  지금 북측은  코로나 위기로 나라사정이 심각한 수준으로 악화되고 있지만 자존심과 체면을 지켜야 하기 때문에 먼저 노골적으로 남측에 교류재개를 제안할 수도 없다 고 판단했다  이어 김 의원은  북측의 말은  ,0,0
78,화천군 보건의료원 음압 구급차량 구입,업코리아      화천군 보건의료원 음압 구급차량 구입  업코리아  화천군 보건의료원이 신속한  코로나  대응을 위해 음압 구급차량을 구입했다  화천군은  코로나  확진자 발생 시 신속히 이송할 수 있는 음압  ,1,1
79,수출급감 속 경상수지  년만에 최대 적자, 코로나  여파로 수출이 급감하며  월 경상수지가  년  개월만에 최대 적자를 냈다  사진은 수출 컨테이너가 모여 있는 부산 신항  사진 연합뉴스 신종 코로나 바이러스 감염증 코로나  사태로 수출이  ,1,0
80,영동소방서 학산 안전센터 구급대원 칭찬글  감동 ,임환호 소방교는  코로나 로 국민 모두가 힘든 시기에 소방공무원으로서 당연한 일이었는데 이렇게 칭찬해주셔서 정말 감사하다 며  앞으로도 더욱 더 신속하고 친절한 서비스로 국민의 생명과 안전을 위해 최선을  ,0,1
81,만성질환자  코로나  예방 대응에 총력,업코리아      남원시청  업코리아  남원시보건소는  코로나 의 지역 확산에 따른 주민들의 불안감을  제공하고  코로나  대응을 위한 감염병 예방 생활수칙을 교육해 개인별 맞춤 건강관리를 제공했다  특히  ,0,0
82,계룡시  여름철  폭염대응  종합대책 추진,특히 이번 폭염대응은  코로나  감염 예방 및 확산 방지를 위해 많은 사람이 모이거나 접촉가능성이 높은  행동요령과  코로나  감염예방을 위한 냉방기기 사용법 등을 홍보해 주민 건강과 안전 제고에 집중할 예정이다 ,0,1
83,중기중앙회  신세계백화점서  중소기업 소상공인 특별전  개최,특별전은 신종  코로나 바이러스 감염증 코로나 로 어려움을 겪고 있는 중소기업과 소상공인의 판로개척을 위해 기획됐다  이 행사는 지난  월 신세계백화점 본점에서 처음 개최한 이후 의정부 대구 광주 부산 등  ,1,0
84,무주군  공공산림가꾸기  두 마리 토끼  잡아,사업추진에 앞서 지난  월 산림바이오매스 수집단  명을 선발 완료하고 참여자를 대상으로  코로나  관련  산림녹지과 이상일 산림조성 팀장은  코로나 로 침체되어 있는 상황에서 이번 사업을 통해 사회적  ,1,1
85,계룡시장배 체육대회  무관중 경기로  일부터 개최 ,이번 종목별 체육대회는  코로나 감염예방을 위해 무관중 경기로 개최되며  각 경기마다 방역관리자를 지정해 경기장 사전 방역소독  참가자 열 체크 등 철저한 방역 조치 후 진행된다  계룡시체육회가 주최하고 각  ,0,0
86, 하이닉스  작년  사회적 가치  실적 부진 환경영향 최소화 노력 , 코로나 와 같은 국가적 전염병 이슈나 자연재해에 대비하여 국민들의 안전과 생존을 지원하는 사회적 안전망도 지속 개발해 나간다는 계획이다  한편  하이닉스는 지난해 지역사회  고객  협력사  주주를 대상으로  ,1,1
87,속초시  시민중심원탁회의 제 차 자문회의 개최, 시민중심원탁회의 는 당초  월중 개최할 예정이었으나  코로나  확산방지를 위해 부득이하게 연기된 이후   월부터 생활 속 거리두기로 방역지침이 전환됨에 따라 발열체크  손소독제 비치  마스크 착용 등 방역에  ,0,0
88,여수시  학생 가정  제 차 농산물 꾸러미  포인트 지원,한편 여수시는  코로나  사태로 어린이집 휴원과 개학연기가 장기화됨에 따라 지난  월부터  월까지  억  천만 원을 긴급 투입해 어린이집 유치원  초 중 고 특수 교 학생 가정에 친환경농산물과 수산물 꾸러미를  ,0,0
89,평택시 바르게살기 세교동 위원회  현충일 맞아 태극기달기운동 전개,강경화 위원장은  월 호국영령의 달을 맞아 순국선열들을 기리는 가장 첫걸음은 태극기 게양이라 생각 한다 며  코로나 로 인해 외출이 어려운 만큼  태극기 게양을 통해 순국선열에 대한 감사한 마음을 되새기는 날이  ,0,1
90,무안군  개학 맞이  코로나  예방 캠페인 실시,내외뉴스통신    전남 무안군은 지난  일과  일 남악초등학교와 무안초등학교에서 개학맞이  코로나  있도록  코로나  예방수칙을 적극 홍보했다  이와 더불어 마스크 잘 쓰기  친구들과 떨어져 앉기  창문을 열어  ,1,1
91,셀트리온   램시마  제형간 유효성 차이 없어 , 는  일부터  일까지 독일 프랑크푸르트에서 열릴 예정이었으나  코로나 로 인해 온라인으로 진행됐다  이번 임상결과 자료는 학회 홈페이지를 통해 공개됐다   일 셀트리온에 따르면  에서 발표한 임상  ,0,0
